player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Michy Batshuayi,FW,Belgium,29-077,Fenerbahçe,1993,2,2,151,1.7,1,0,1,0,0
Romelu Lukaku,FW,Belgium,29-219,Inter,1993,2,0,55,0.6,0,0,0,0,0
Thibaut Courtois,GK,Belgium,30-221,Real Madrid,1992,3,3,270,3,0,0,0,0,0
Thomas Meunier,DF,Belgium,31-097,Dortmund,1991,3,2,211,2.3,0,0,0,1,0
Thorgan Hazard,FW,Belgium,29-264,Dortmund,1993,2,1,106,1.2,0,0,0,0,0
Timothy Castagne,DF,Belgium,27-013,Leicester City,1995,3,3,270,3,0,0,0,0,0
Toby Alderweireld,DF,Belgium,33-291,Antwerp,1989,3,3,270,3,0,1,0,0,0
Yannick Carrasco,FW,Belgium,29-105,Atlético Madrid,1993,2,2,116,1.3,0,0,0,1,0
Youri Tielemans,MF,Belgium,25-225,Leicester City,1997,3,1,95,1.1,0,0,0,0,0
Alex Sandro,DF,Brazil,31-326,Juventus,1991,3,2,190,2.1,0,0,0,0,0
Alex Telles,DF,Brazil,30-003,Sevilla,1992,2,1,59,0.7,0,0,0,0,0
Alisson,GK,Brazil,30-077,Liverpool,1992,4,4,379,4.2,0,0,0,0,0
Antony,FW,Brazil,22-297,Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0
Bruno Guimarães,MF,Brazil,25-032,Newcastle Utd,1997,2,0,69,0.8,0,0,0,1,0
Casemiro,MF,Brazil,30-298,Manchester Utd,1992,4,4,390,4.3,1,0,1,1,0
Dani Alves,DF,Brazil,39-226,UNAM,1983,2,1,118,1.3,0,0,0,0,0
Danilo,DF,Brazil,31-156,Juventus,1991,3,3,281,3.1,0,0,0,1,0
Ederson,GK,Brazil,29-123,Manchester City,1993,1,1,90,1,0,0,0,0,0
Everton Ribeiro,MF,Brazil,33-252,Flamengo,1989,1,0,36,0.4,0,0,0,0,0
Fabinho,MF,Brazil,29-056,Liverpool,1993,1,1,90,1,0,0,0,0,0
Fred,MF,Brazil,29-288,Manchester Utd,1993,4,2,142,1.6,0,0,0,1,0
Gabriel Jesus,FW,Brazil,25-259,Arsenal,1997,3,1,93,1,0,0,0,0,0
Gleison Bremer,DF,Brazil,25-275,Juventus,1997,2,1,109,1.2,0,0,0,0,0
Lucas Paquetá,MF,Brazil,25-113,West Ham,1997,4,4,314,3.5,1,1,1,0,0
Marquinhos,DF,Brazil,28-218,Paris S-G,1994,5,4,426,4.7,0,0,0,1,0
Martinelli,FW,Brazil,21-183,Arsenal,2001,3,1,113,1.3,0,0,0,0,0
Neymar,MF,Brazil,30-316,Paris S-G,1992,3,3,279,3.1,2,0,1,0,0
Pedro,FW,Brazil,25-181,Flamengo,1997,2,0,64,0.7,0,0,0,0,0
Raphinha,FW,Brazil,26-004,Barcelona,1996,5,4,315,3.5,0,1,0,0,0
Richarlison,FW,Brazil,25-222,Tottenham,1997,4,4,323,3.6,3,0,3,0,0
Rodrygo,MF,Brazil,21-343,Real Madrid,2001,5,1,181,2,0,1,0,0,0
Thiago Silva,DF,Brazil,38-087,Chelsea,1984,4,4,390,4.3,0,1,0,0,0
Vinicius Júnior,FW,Brazil,22-159,Real Madrid,2000,4,4,299,3.3,1,2,1,0,0
Wéverton,GK,Brazil,35-005,Palmeiras,1987,1,0,11,0.1,0,0,0,0,0
Éder Militão,DF,Brazil,24-334,Real Madrid,1998,4,4,347,3.9,0,0,0,1,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,Napoli,1995,3,3,260,2.9,0,1,0,0,0
André Onana,GK,Cameroon,26-260,Inter,1996,1,1,80,0.9,0,0,0,0,0
Bryan Mbeumo,FW,Cameroon,23-133,Brentford,1999,3,3,233,2.6,0,0,0,0,0
Christian Bassogog,MF,Cameroon,27-061,Shanghai Shen,1995,1,0,24,0.3,0,0,0,1,0
Christopher Wooh,DF,Cameroon,21-091,Rennes,2001,1,1,90,1,0,0,0,0,0
Collins Fai,DF,Cameroon,30-127,Al-Ta'ee,1992,3,3,270,3,0,0,0,2,0
Devis Epassy,GK,Cameroon,29-319,Abha,1993,2,2,180,2,0,0,0,0,0
Enzo Ebosse,DF,Cameroon,23-282,Udinese,1999,1,1,90,1,0,0,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0
Gaël Ondoua,MF,Cameroon,27-044,Hannover 96,1995,2,0,47,0.5,0,0,0,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0
Jean-Charles Castelletto,DF,Cameroon,27-326,Nantes,1995,2,2,180,2,1,1,1,0,0
Jerome Ngom Mbekeli,MF,Cameroon,24-079,Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0
Karl Toko Ekambi,FW,Cameroon,30-095,Lyon,1992,3,2,166,1.8,0,0,0,0,0
Martin Hongla,MF,Cameroon,24-277,Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0
Moumi Ngamaleu,FW,Cameroon,28-162,Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0
Nicolas Nkoulou,DF,Cameroon,32-266,Aris,1990,2,2,180,2,0,1,0,1,0
Nouhou Tolo,DF,Cameroon,25-178,Seattle,1997,3,3,270,3,0,0,0,1,0
Olivier Ntcham,MF,Cameroon,26-312,Swansea City,1996,1,0,25,0.3,0,0,0,0,0
Pierre Kunde,MF,Cameroon,27-145,Olympiacos,1995,2,2,131,1.5,0,0,0,1,0
Samuel Oum Gouet,MF,Cameroon,25-005,Mechelen,1997,2,1,100,1.1,0,0,0,0,0
Vincent Aboubakar,FW,Cameroon,30-330,Al-Nassr,1992,3,1,142,1.6,2,1,2,2,1
Alistair Johnston,DF,Canada,24-071,CF Montréal,1998,3,3,270,3,0,0,0,1,0
Alphonso Davies,MF,Canada,22-046,Bayern Munich,2000,3,3,270,3,1,0,1,1,0
Atiba Hutchinson,MF,Canada,39-313,Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0
Cyle Larin,FW,Canada,27-245,Club Brugge,1995,3,2,137,1.5,0,0,0,0,0
David Wotherspoon,MF,Canada,32-336,St Johnstone,1990,1,0,15,0.2,0,0,0,0,0
Ismaël Koné,MF,Canada,20-195,CF Montréal,2002,3,0,109,1.2,0,0,0,0,0
Jonathan David,FW,Canada,22-338,Lille,2000,3,2,192,2.1,0,0,0,0,0
Jonathan Osorio,MF,Canada,30-189,Toronto FC,1992,3,1,119,1.3,0,0,0,1,0
Junior Hoilett,FW,Canada,32-196,Reading,1990,3,2,161,1.8,0,0,0,1,0
Kamal Miller,DF,Canada,25-216,CF Montréal,1997,3,3,270,3,0,0,0,1,0
Liam Millar,DF,Canada,23-082,Basel,1999,1,0,10,0.1,0,0,0,0,0
Lucas Cavallini,FW,Canada,29-355,Vancouver,1992,1,0,19,0.2,0,0,0,0,0
Mark-Anthony Kaye,MF,Canada,28-016,Toronto FC,1994,1,1,59,0.7,0,0,0,0,0
Milan Borjan,GK,Canada,35-056,Red Star,1987,3,3,270,3,0,0,0,0,0
Richie Laryea,DF,Canada,27-345,Toronto FC,1995,3,2,160,1.8,0,0,0,0,0
Sam Adekugbe,DF,Canada,27-336,Hatayspor,1995,3,1,95,1.1,0,0,0,1,0
Stephen Eustáquio,MF,Canada,25-362,Porto,1996,2,2,125,1.4,0,0,0,0,0
Steven Vitória,DF,Canada,35-341,Chaves,1987,3,3,270,3,0,0,0,1,0
Tajon Buchanan,MF,Canada,23-313,Club Brugge,1999,3,3,260,2.9,0,1,0,1,0
Anthony Contreras,FW,Costa Rica,22-323,Club Sport Herediano,2000,3,2,125,1.4,0,0,0,1,0
Brandon Aguilera,MF,Costa Rica,19-173,Asociación Deportiva Guanacasteca,2003,3,1,90,1,0,0,0,0,0
Bryan Oviedo,DF,Costa Rica,32-303,Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0
Bryan Ruiz,MF,Costa Rica,37-122,Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0
Carlos Martínez,DF,Costa Rica,23-263,AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0
Celso Borges,MF,Costa Rica,34-205,Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,1,0
Daniel Chacón,MF,Costa Rica,21-251,CS Cartaginés,2001,1,0,1,0,0,0,0,0,0
Francisco Calvo,DF,Costa Rica,30-163,Konyaspor,1992,2,2,180,2,0,0,0,2,0
Gerson Torres,MF,Costa Rica,25-112,Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0
Jewison Bennette,MF,Costa Rica,18-186,Sunderland,2004,3,1,103,1.1,0,0,0,0,0
Joel Campbell,FW,Costa Rica,30-175,León,1992,3,3,269,3,0,0,0,1,0
Johan Venegas,FW,Costa Rica,34-021,Liga Deportiva Alajuelense,1988,1,1,73,0.8,0,0,0,0,0
Juan Pablo Vargas,DF,Costa Rica,27-195,Millonarios,1995,1,1,90,1,1,0,1,0,0
Kendall Waston,DF,Costa Rica,34-351,Deportivo Saprissa,1988,3,2,225,2.5,0,0,0,0,0
Keylor Navas,GK,Costa Rica,36-003,Paris S-G,1986,3,3,270,3,0,0,0,0,0
Keysher Fuller,DF,Costa Rica,28-160,Club Sport Herediano,1994,3,3,253,2.8,1,0,1,0,0
Roan Wilson,MF,Costa Rica,20-231,Municipal Grecia,2002,1,0,1,0,0,0,0,0,0
Rónald Matarrita,DF,Costa Rica,28-162,FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0
Yeltsin Tejeda,MF,Costa Rica,30-276,Club Sport Herediano,1992,3,3,269,3,1,1,1,0,0
Youstin Salas,DF,Costa Rica,26-184,Deportivo Saprissa,1996,2,0,47,0.5,0,0,0,0,0
Álvaro Zamora,MF,Costa Rica,20-284,Deportivo Saprissa,2002,1,0,30,0.3,0,0,0,0,0
Óscar Duarte,DF,Costa Rica,33-198,Al-Wehda,1989,3,3,270,3,0,0,0,1,0
Andrej Kramarić,FW,Croatia,31-182,Hoffenheim,1991,7,7,474,5.3,2,0,2,0,0
Ante Budimir,FW,Croatia,31-149,Osasuna,1991,2,0,55,0.6,0,0,0,0,0
Borna Barišić,DF,Croatia,30-038,Rangers,1992,1,1,120,1.3,0,0,0,1,0
Borna Sosa,DF,Croatia,24-331,Stuttgart,1998,5,5,424,4.7,0,0,0,0,0
Bruno Petković,FW,Croatia,28-093,Dinamo Zagreb,1994,6,1,234,2.6,1,0,1,1,0
Dejan Lovren,DF,Croatia,33-166,Zenit,1989,6,6,600,6.7,0,1,0,1,0
Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,1995,7,7,690,7.7,0,0,0,1,0
Ivan Perišić,FW,Croatia,33-319,Tottenham,1989,7,7,669,7.4,1,3,1,0,0
Josip Juranović,DF,Croatia,27-124,Celtic,1995,6,6,600,6.7,0,1,0,0,0
Josip Stanišić,DF,Croatia,22-260,Bayern Munich,2000,1,1,90,1,0,0,0,0,0
Josip Šutalo,DF,Croatia,22-293,Dinamo Zagreb,2000,1,1,90,1,0,0,0,0,0
Joško Gvardiol,DF,Croatia,20-329,RB Leipzig,2002,7,7,690,7.7,1,0,1,0,0
Kristijan Jakić,FW,Croatia,25-218,Eint Frankfurt,1997,1,0,1,0,0,0,0,0,0
Lovro Majer,MF,Croatia,24-335,Rennes,1998,7,1,130,1.4,1,0,1,0,0
Luka Modrić,MF,Croatia,37-100,Real Madrid,1985,7,7,653,7.3,0,0,0,1,0
Marcelo Brozović,MF,Croatia,30-032,Inter,1992,6,6,552,6.1,0,0,0,1,0
Mario Pašalić,FW,Croatia,27-312,Atalanta,1995,7,2,271,3,0,0,0,0,0
Marko Livaja,FW,Croatia,29-114,Hajduk Split,1993,6,3,241,2.7,1,1,1,0,0
Mateo Kovačić,MF,Croatia,28-226,Chelsea,1994,7,7,635,7.1,0,0,0,2,0
Mislav Oršić,FW,Croatia,29-354,Dinamo Zagreb,1992,6,1,162,1.8,1,2,1,0,0
Nikola Vlašić,FW,Croatia,25-075,Torino,1997,6,1,209,2.3,0,0,0,0,0
Alexander Bah,DF,Denmark,25-009,Benfica,1997,2,0,46,0.5,0,0,0,0,0
Andreas Christensen,DF,Denmark,26-252,Barcelona,1996,3,3,270,3,1,0,1,1,0
Andreas Cornelius,FW,Denmark,29-277,FC Copenhagen,1993,3,1,92,1,0,0,0,1,0
Andreas Skov Olsen,FW,Denmark,22-354,Club Brugge,1999,2,2,132,1.5,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-307,Manchester Utd,1992,3,3,270,3,0,0,0,0,0
Christian Nørgaard,MF,Denmark,28-283,Brentford,1994,1,0,6,0.1,0,0,0,0,0
Jesper Lindstrøm,MF,Denmark,22-292,Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0
Joachim Andersen,DF,Denmark,26-201,Crystal Palace,1996,3,3,270,3,0,1,0,0,0
Joakim Mæhle,DF,Denmark,25-212,Atalanta,1997,3,3,249,2.8,0,0,0,0,0
Kasper Dolberg,FW,Denmark,25-073,Sevilla,1997,3,1,114,1.3,0,0,0,0,0
Kasper Schmeichel,GK,Denmark,36-043,Nice,1986,3,3,270,3,0,0,0,0,0
Martin Braithwaite,FW,Denmark,31-196,Espanyol,1991,2,1,103,1.1,0,0,0,0,0
Mathias Jensen,MF,Denmark,26-351,Brentford,1996,2,1,84,0.9,0,0,0,1,0
Mikkel Damsgaard,MF,Denmark,22-168,Brentford,2000,3,1,150,1.7,0,0,0,0,0
Pierre Højbjerg,MF,Denmark,27-135,Tottenham,1995,3,3,270,3,0,0,0,0,0
Rasmus Nissen,DF,Denmark,25-160,Leeds United,1997,3,3,224,2.5,0,0,0,1,0
Robert Skov,DF,Denmark,26-212,Hoffenheim,1996,1,0,22,0.2,0,0,0,1,0
Simon Kjær,DF,Denmark,33-267,Milan,1989,1,1,64,0.7,0,0,0,0,0
Thomas Delaney,MF,Denmark,31-106,Sevilla,1991,1,1,44,0.5,0,0,0,0,0
Victor Nelsson,DF,Denmark,24-065,Galatasaray,1998,1,1,90,1,0,0,0,0,0
Alan Franco,MF,Ecuador,24-119,Talleres,1998,2,1,46,0.5,0,0,0,0,0
Carlos Gruezo,MF,Ecuador,27-243,Augsburg,1995,1,1,45,0.5,0,0,0,0,0
Djorkaeff Reasco,FW,Ecuador,23-334,Newell's OB,1999,1,0,27,0.3,0,0,0,0,0
Enner Valencia,FW,Ecuador,33-044,Fenerbahçe,1989,3,3,255,2.8,3,0,2,0,0
Félix Torres Caicedo,DF,Ecuador,25-341,Santos,1997,3,3,270,3,0,1,0,0,0
Gonzalo Plata,MF,Ecuador,22-047,Valladolid,2000,3,3,269,3,0,0,0,0,0
Hernán Galíndez,GK,Ecuador,35-263,SD Aucas,1987,3,3,270,3,0,0,0,0,0
Jackson Porozo,DF,Ecuador,22-136,Troyes,2000,2,1,96,1.1,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-185,Brighton,2002,3,0,85,0.9,0,0,0,0,0
Jhegson Méndez,MF,Ecuador,25-236,Los Angeles FC,1997,2,2,180,2,0,0,0,2,0
José Cifuentes,MF,Ecuador,23-281,Los Angeles FC,1999,2,0,59,0.7,0,0,0,0,0
Kevin Rodríguez,FW,Ecuador,22-289,,2000,2,0,2,0,0,0,0,0,0
Michael Estrada,FW,Ecuador,26-255,Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0
Moisés Caicedo,MF,Ecuador,21-046,Brighton,2001,3,3,269,3,1,0,1,1,0
Pervis Estupiñán,DF,Ecuador,24-331,Brighton,1998,3,3,270,3,0,0,0,0,0
Piero Hincapié,DF,Ecuador,20-343,Leverkusen,2002,3,3,270,3,0,0,0,0,0
Romario Ibarra,MF,Ecuador,28-085,Pachuca,1994,2,1,68,0.8,0,0,0,0,0
Ángelo Preciado,DF,Ecuador,24-303,Genk,1998,3,3,264,2.9,0,1,0,0,0
Bukayo Saka,FW,England,21-104,Arsenal,2001,4,4,288,3.2,3,0,3,0,0
Callum Wilson,FW,England,30-294,Newcastle Utd,1992,2,0,48,0.5,0,1,0,0,0
Declan Rice,MF,England,23-338,West Ham,1999,5,5,417,4.6,0,0,0,0,0
Eric Dier,DF,England,28-337,Tottenham,1994,2,0,36,0.4,0,0,0,0,0
Harry Kane,FW,England,29-143,Tottenham,1993,5,5,402,4.5,2,3,1,0,0
Harry Maguire,DF,England,29-288,Manchester Utd,1993,5,5,429,4.8,0,1,0,1,0
Jack Grealish,FW,England,27-099,Manchester City,1995,5,0,86,1,1,0,1,0,0
John Stones,DF,England,28-204,Manchester City,1994,5,5,434,4.8,0,0,0,0,0
Jordan Henderson,MF,England,32-184,Liverpool,1990,4,3,271,3,1,0,1,0,0
Jordan Pickford,GK,England,28-286,Everton,1994,5,5,450,5,0,0,0,0,0
Jude Bellingham,MF,England,19-172,Dortmund,2003,5,5,414,4.6,1,1,1,0,0
Kalvin Phillips,MF,England,27-016,Manchester City,1995,2,0,42,0.5,0,1,0,0,0
Kieran Trippier,DF,England,32-090,Newcastle Utd,1990,3,2,206,2.3,0,0,0,0,0
Kyle Walker,DF,England,32-204,Manchester City,1990,3,3,236,2.6,0,0,0,0,0
Luke Shaw,DF,England,27-159,Manchester Utd,1995,5,5,424,4.7,0,1,0,0,0
Marcus Rashford,FW,England,25-048,Manchester Utd,1997,5,1,140,1.6,3,0,3,0,0
Mason Mount,MF,England,23-342,Chelsea,1999,4,2,186,2.1,0,0,0,0,0
Phil Foden,FW,England,22-204,Manchester City,2000,4,3,258,2.9,1,2,1,0,0
Raheem Sterling,FW,England,28-010,Chelsea,1994,3,2,149,1.7,1,1,1,0,0
Trent Alexander-Arnold,DF,England,24-072,Liverpool,1998,1,0,34,0.4,0,0,0,0,0
Adrien Rabiot,MF,France,27-259,Juventus,1995,6,5,483,5.4,1,1,1,1,0
Antoine Griezmann,MF,France,31-272,Atlético Madrid,1991,7,6,537,6,0,3,0,1,0
Aurélien Tchouaméni,MF,France,22-325,Real Madrid,2000,7,7,621,6.9,1,0,1,1,0
Axel Disasi,DF,France,24-282,Monaco,1998,3,1,92,1,0,0,0,0,0
Benjamin Pavard,DF,France,26-265,Bayern Munich,1996,1,1,88,1,0,0,0,0,0
Dayot Upamecano,DF,France,24-052,Bayern Munich,1998,5,5,480,5.3,0,0,0,0,0
Eduardo Camavinga,DF,France,20-038,Real Madrid,2002,2,1,140,1.6,0,0,0,0,0
Hugo Lloris,GK,France,35-357,Tottenham,1986,6,6,570,6.3,0,0,0,0,0
Ibrahima Konaté,DF,France,23-207,Liverpool,1999,5,3,294,3.3,0,0,0,0,0
Jordan Veretout,MF,France,29-292,Marseille,1993,1,1,62,0.7,0,0,0,0,0
Jules Koundé,DF,France,24-036,Barcelona,1998,6,5,480,5.3,0,0,0,1,0
Kingsley Coman,FW,France,26-188,Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0
Kylian Mbappé,FW,France,23-363,Paris S-G,1998,7,6,598,6.6,8,2,6,0,0
Lucas Hernández,DF,France,26-307,Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0
Marcus Thuram,FW,France,25-134,M'Gladbach,1997,5,0,151,1.7,0,2,0,1,0
Mattéo Guendouzi,FW,France,23-248,Marseille,1999,1,1,78,0.9,0,0,0,0,0
Olivier Giroud,FW,France,36-079,Milan,1986,6,6,419,4.7,4,0,4,1,0
Ousmane Dembélé,FW,France,25-217,Barcelona,1997,7,6,433,4.8,0,2,0,1,0
Randal Kolo Muani,FW,France,24-013,Eint Frankfurt,1998,3,1,182,2,1,0,1,0,0
Raphaël Varane,DF,France,29-237,Manchester Utd,1993,6,6,518,5.8,0,0,0,0,0
Steve Mandanda,GK,France,37-265,Rennes,1985,1,1,90,1,0,0,0,0,0
Theo Hernández,DF,France,25-073,Milan,1997,6,5,508,5.6,1,2,1,1,0
William Saliba,DF,France,21-269,Arsenal,2001,1,0,28,0.3,0,0,0,0,0
Youssouf Fofana,MF,France,23-342,Monaco,1999,6,2,227,2.5,0,0,0,0,0
Antonio Rüdiger,DF,Germany,29-290,Real Madrid,1993,3,3,270,3,0,0,0,0,0
David Raum,DF,Germany,24-240,RB Leipzig,1998,3,3,242,2.7,0,1,0,0,0
Jamal Musiala,MF,Germany,19-295,Bayern Munich,2003,3,3,258,2.9,0,1,0,0,0
Jonas Hofmann,FW,Germany,30-157,M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0
Joshua Kimmich,MF,Germany,27-313,Bayern Munich,1995,3,3,270,3,0,0,0,1,0
Kai Havertz,FW,Germany,23-190,Chelsea,1999,2,1,102,1.1,2,0,2,0,0
Leon Goretzka,MF,Germany,27-315,Bayern Munich,1995,3,2,159,1.8,0,0,0,1,0
Leroy Sané,FW,Germany,26-341,Bayern Munich,1996,2,1,111,1.2,0,1,0,0,0
Lukas Klostermann,DF,Germany,26-198,RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0
Manuel Neuer,GK,Germany,36-266,Bayern Munich,1986,3,3,270,3,0,0,0,0,0
Mario Götze,MF,Germany,30-198,Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0
Matthias Ginter,DF,Germany,28-333,Freiburg,1994,1,0,1,0,0,0,0,0,0
Niclas Füllkrug,FW,Germany,29-312,Werder Bremen,1993,3,0,69,0.8,2,1,2,0,0
Nico Schlotterbeck,DF,Germany,23-017,Dortmund,1999,2,1,94,1,0,0,0,0,0
Niklas Süle,DF,Germany,27-106,Dortmund,1995,3,3,269,3,0,0,0,0,0
Serge Gnabry,FW,Germany,27-157,Bayern Munich,1995,3,3,263,2.9,1,1,1,0,0
Thilo Kehrer,DF,Germany,26-088,West Ham,1996,1,1,69,0.8,0,0,0,1,0
Thomas Müller,FW,Germany,33-096,Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0
Youssoufa Moukoko,FW,Germany,18-028,Dortmund,2004,1,0,1,0,0,0,0,0,0
İlkay Gündoğan,MF,Germany,32-055,Manchester City,1990,3,3,189,2.1,1,0,0,0,0
Abdul Fatawu Issahaku,FW,Ghana,18-285,Sporting CP,2004,1,0,1,0,0,0,0,0,0
